-0.01,-14.91,1.43,-0.82,-0.79,932.86,0.00,20.32,2297.00,2298.00,1
0.02,-15.09,1.47,-0.79,-0.79,935.91,0.00,20.30,2293.00,2297.50,1
0.06,-15.12,1.51,-0.76,-0.79,938.96,0.00,20.30,2295.00,2297.00,1
0.08,-15.01,1.53,-0.82,-0.79,932.86,0.00,20.29,2297.00,2297.00,1
0.10,-15.14,1.53,-0.79,-0.79,935.91,0.00,20.26,2296.00,2297.00,1
0.09,-15.22,1.52,-0.79,-0.79,935.91,0.00,20.26,2297.00,2297.00,1
0.10,-15.31,1.51,-0.76,-0.78,938.96,0.00,20.27,2293.00,2296.50,1
0.12,-15.66,1.49,-0.79,-0.79,935.91,0.00,20.29,2295.00,2295.50,1
0.15,-15.69,1.46,-0.79,-0.79,935.91,0.00,20.29,2287.00,2295.50,1
0.16,-15.73,1.44,-0.82,-0.79,932.86,0.00,20.28,2296.00,2295.50,1
0.17,-15.68,1.42,-0.82,-0.79,932.86,0.00,20.29,2297.00,2295.50,1
0.21,-15.54,1.42,-0.79,-0.79,935.91,0.00,20.27,2297.00,2296.00,1
0.22,-15.27,1.42,-0.82,-0.79,932.86,0.00,20.29,2296.00,2296.00,1
0.26,-15.11,1.42,-0.76,-0.79,938.96,0.00,20.28,2299.00,2296.00,1
0.32,-15.00,1.45,-0.76,-0.79,938.96,0.00,20.27,2294.00,2296.00,1
0.38,-14.74,1.48,-0.76,-0.79,938.96,0.00,20.27,2295.00,2295.50,1
0.37,-14.42,1.49,-0.76,-0.79,938.96,0.00,20.27,2297.00,2296.00,1
0.36,-14.62,1.48,-0.79,-0.79,935.91,0.00,20.25,2297.00,2296.50,1
0.38,-14.16,1.45,-0.79,-0.79,935.91,0.00,20.25,2299.00,2297.00,1
0.38,-13.09,1.41,-0.79,-0.79,935.91,0.00,20.25,2297.00,2297.00,1
0.40,-11.57,1.35,-0.82,-0.79,932.86,0.00,20.25,2296.00,2297.00,1
0.47,-11.01,1.31,-0.85,-0.79,929.81,0.00,20.25,2299.00,2297.00,1
0.53,-12.68,1.30,-0.82,-0.79,932.86,0.00,20.25,2297.00,2297.00,1
0.56,-15.91,1.31,-0.79,-0.79,935.91,0.00,20.26,2291.00,2297.00,1
0.58,-16.79,1.33,-0.82,-0.79,932.86,0.00,20.25,2295.00,2297.00,1
0.64,-14.07,1.39,-0.79,-0.79,935.91,0.00,20.25,2297.00,2297.00,1
0.67,-12.11,1.44,-0.79,-0.79,935.91,0.00,20.25,2297.00,2297.00,1
0.69,-12.11,1.46,-0.79,-0.79,935.91,0.00,20.25,2296.00,2297.00,1
0.69,-12.97,1.46,-0.85,-0.81,929.81,0.00,20.25,2295.00,2296.50,1
0.70,-14.01,1.45,-0.82,-0.82,932.86,0.00,20.25,2300.00,2296.50,1
0.70,-15.13,1.41,-0.76,-0.81,938.96,0.00,20.24,2294.00,2296.50,1
0.70,-13.76,1.36,-0.79,-0.79,935.91,0.00,20.25,2297.00,2296.50,1
0.70,-11.28,1.31,-0.76,-0.79,938.96,0.00,20.26,2296.00,2296.00,1
0.74,-8.34,1.28,-0.79,-0.79,935.91,0.00,20.22,2296.00,2296.00,1
0.76,-9.02,1.25,-0.85,-0.79,929.81,0.00,20.22,2295.00,2296.00,1
